n,schedule,basis,rounds,idle,cnot_depth,undetected_single_fault_signatures,circuit_fault_distance
42,dedicated,Z,3,True,44,0,2
42,coloration,X,1,False,80,18,1
42,coloration,X,1,True,80,18,1
42,coloration,X,2,False,80,18,1
42,coloration,X,2,True,80,18,1
42,coloration,X,3,False,80,18,1
42,coloration,X,3,True,80,18,1
42,coloration,Z,1,False,80,18,1
42,coloration,Z,1,True,80,18,1
42,coloration,Z,2,False,80,18,1
42,coloration,Z,2,True,80,18,1
42,coloration,Z,3,False,80,18,1
42,coloration,Z,3,True,80,18,1
44,dedicated,X,1,False,46,0,2
44,dedicated,X,1,True,46,0,2
44,dedicated,X,2,False,46,0,2
44,dedicated,X,2,True,46,0,2
44,dedicated,X,3,False,46,0,2
44,dedicated,X,3,True,46,0,2
44,dedicated,Z,1,False,46,0,2
44,dedicated,Z,1,True,46,0,2
44,dedicated,Z,2,False,46,0,2
44,dedicated,Z,2,True,46,0,2
44,dedicated,Z,3,False,46,0,2
44,dedicated,Z,3,True,46,0,2
44,coloration,X,1,False,84,19,1
44,coloration,X,1,True,84,19,1
44,coloration,X,2,False,84,19,1
44,coloration,X,2,True,84,19,1
44,coloration,X,3,False,84,19,1
44,coloration,X,3,True,84,19,1
44,coloration,Z,1,False,84,19,1
44,coloration,Z,1,True,84,19,1
44,coloration,Z,2,False,84,19,1
44,coloration,Z,2,True,84,19,1
44,coloration,Z,3,False,84,19,1
44,coloration,Z,3,True,84,19,1
46,dedicated,X,1,False,48,0,2
46,dedicated,X,1,True,48,0,2
46,dedicated,X,2,False,48,0,2
46,dedicated,X,2,True,48,0,2
46,dedicated,X,3,False,48,0,2
46,dedicated,X,3,True,48,0,2
46,dedicated,Z,1,False,48,0,2
46,dedicated,Z,1,True,48,0,2
46,dedicated,Z,2,False,48,0,2
46,dedicated,Z,2,True,48,0,2
46,dedicated,Z,3,False,48,0,2
46,dedicated,Z,3,True,48,0,2
46,coloration,X,1,False,88,20,1
46,coloration,X,1,True,88,20,1
46,coloration,X,2,False,88,20,1
46,coloration,X,2,True,88,20,1
46,coloration,X,3,False,88,20,1
46,coloration,X,3,True,88,20,1
46,coloration,Z,1,False,88,20,1
46,coloration,Z,1,True,88,20,1
46,coloration,Z,2,False,88,20,1
46,coloration,Z,2,True,88,20,1
46,coloration,Z,3,False,88,20,1
46,coloration,Z,3,True,88,20,1
48,dedicated,X,1,False,50,0,2
48,dedicated,X,1,True,50,0,2
48,dedicated,X,2,False,50,0,2
48,dedicated,X,2,True,50,0,2
48,dedicated,X,3,False,50,0,2
48,dedicated,X,3,True,50,0,2
48,dedicated,Z,1,False,50,0,2
48,dedicated,Z,1,True,50,0,2
48,dedicated,Z,2,False,50,0,2
48,dedicated,Z,2,True,50,0,2
48,dedicated,Z,3,False,50,0,2
48,dedicated,Z,3,True,50,0,2
48,coloration,X,1,False,92,21,1
48,coloration,X,1,True,92,21,1
48,coloration,X,2,False,92,21,1
48,coloration,X,2,True,92,21,1
48,coloration,X,3,False,92,21,1
48,coloration,X,3,True,92,21,1
48,coloration,Z,1,False,92,21,1
48,coloration,Z,1,True,92,21,1
48,coloration,Z,2,False,92,21,1
48,coloration,Z,2,True,92,21,1
48,coloration,Z,3,False,92,21,1
48,coloration,Z,3,True,92,21,1
50,dedicated,X,1,False,52,0,2
50,dedicated,X,1,True,52,0,2
50,dedicated,X,2,False,52,0,2
50,dedicated,X,2,True,52,0,2
50,dedicated,X,3,False,52,0,2
50,dedicated,X,3,True,52,0,2
50,dedicated,Z,1,False,52,0,2
50,dedicated,Z,1,True,52,0,2
50,dedicated,Z,2,False,52,0,2
50,dedicated,Z,2,True,52,0,2
50,dedicated,Z,3,False,52,0,2
50,dedicated,Z,3,True,52,0,2
50,coloration,X,1,False,96,22,1
50,coloration,X,1,True,96,22,1
50,coloration,X,2,False,96,22,1
50,coloration,X,2,True,96,22,1
50,coloration,X,3,False,96,22,1
50,coloration,X,3,True,96,22,1
50,coloration,Z,1,False,96,22,1
50,coloration,Z,1,True,96,22,1
50,coloration,Z,2,False,96,22,1
50,coloration,Z,2,True,96,22,1
50,coloration,Z,3,False,96,22,1
50,coloration,Z,3,True,96,22,1
52,dedicated,X,1,False,54,0,2
52,dedicated,X,1,True,54,0,2
52,dedicated,X,2,False,54,0,2
52,dedicated,X,2,True,54,0,2
52,dedicated,X,3,False,54,0,2
52,dedicated,X,3,True,54,0,2
52,dedicated,Z,1,False,54,0,2
52,dedicated,Z,1,True,54,0,2
52,dedicated,Z,2,False,54,0,2
52,dedicated,Z,2,True,54,0,2
52,dedicated,Z,3,False,54,0,2
52,dedicated,Z,3,True,54,0,2
52,coloration,X,1,False,100,23,1
52,coloration,X,1,True,100,23,1
52,coloration,X,2,False,100,23,1
52,coloration,X,2,True,100,23,1
52,coloration,X,3,False,100,23,1
52,coloration,X,3,True,100,23,1
52,coloration,Z,1,False,100,23,1
52,coloration,Z,1,True,100,23,1
52,coloration,Z,2,False,100,23,1
52,coloration,Z,2,True,100,23,1
52,coloration,Z,3,False,100,23,1
52,coloration,Z,3,True,100,23,1
54,dedicated,X,1,False,56,0,2
54,dedicated,X,1,True,56,0,2
54,dedicated,X,2,False,56,0,2
54,dedicated,X,2,True,56,0,2
54,dedicated,X,3,False,56,0,2
54,dedicated,X,3,True,56,0,2
54,dedicated,Z,1,False,56,0,2
54,dedicated,Z,1,True,56,0,2
54,dedicated,Z,2,False,56,0,2
54,dedicated,Z,2,True,56,0,2
54,dedicated,Z,3,False,56,0,2
54,dedicated,Z,3,True,56,0,2
54,coloration,X,1,False,104,24,1
54,coloration,X,1,True,104,24,1
54,coloration,X,2,False,104,24,1
54,coloration,X,2,True,104,24,1
54,coloration,X,3,False,104,24,1
54,coloration,X,3,True,104,24,1
54,coloration,Z,1,False,104,24,1
54,coloration,Z,1,True,104,24,1
54,coloration,Z,2,False,104,24,1
54,coloration,Z,2,True,104,24,1
54,coloration,Z,3,False,104,24,1
54,coloration,Z,3,True,104,24,1
56,dedicated,X,1,False,58,0,2
56,dedicated,X,1,True,58,0,2
56,dedicated,X,2,False,58,0,2
56,dedicated,X,2,True,58,0,2
56,dedicated,X,3,False,58,0,2
56,dedicated,X,3,True,58,0,2
56,dedicated,Z,1,False,58,0,2
56,dedicated,Z,1,True,58,0,2
56,dedicated,Z,2,False,58,0,2
56,dedicated,Z,2,True,58,0,2
56,dedicated,Z,3,False,58,0,2
56,dedicated,Z,3,True,58,0,2
56,coloration,X,1,False,108,25,1
56,coloration,X,1,True,108,25,1
56,coloration,X,2,False,108,25,1
56,coloration,X,2,True,108,25,1
56,coloration,X,3,False,108,25,1
56,coloration,X,3,True,108,25,1
56,coloration,Z,1,False,108,25,1
56,coloration,Z,1,True,108,25,1
56,coloration,Z,2,False,108,25,1
56,coloration,Z,2,True,108,25,1
56,coloration,Z,3,False,108,25,1
56,coloration,Z,3,True,108,25,1
58,dedicated,X,1,False,60,0,2
58,dedicated,X,1,True,60,0,2
58,dedicated,X,2,False,60,0,2
58,dedicated,X,2,True,60,0,2
58,dedicated,X,3,False,60,0,2
58,dedicated,X,3,True,60,0,2
58,dedicated,Z,1,False,60,0,2
58,dedicated,Z,1,True,60,0,2
58,dedicated,Z,2,False,60,0,2
58,dedicated,Z,2,True,60,0,2
58,dedicated,Z,3,False,60,0,2
58,dedicated,Z,3,True,60,0,2
58,coloration,X,1,False,112,26,1
58,coloration,X,1,True,112,26,1
58,coloration,X,2,False,112,26,1
58,coloration,X,2,True,112,26,1
58,coloration,X,3,False,112,26,1
58,coloration,X,3,True,112,26,1
58,coloration,Z,1,False,112,26,1
58,coloration,Z,1,True,112,26,1
58,coloration,Z,2,False,112,26,1
58,coloration,Z,2,True,112,26,1
58,coloration,Z,3,False,112,26,1
58,coloration,Z,3,True,112,26,1
60,dedicated,X,1,False,62,0,2
60,dedicated,X,1,True,62,0,2
60,dedicated,X,2,False,62,0,2
60,dedicated,X,2,True,62,0,2
60,dedicated,X,3,False,62,0,2
60,dedicated,X,3,True,62,0,2
60,dedicated,Z,1,False,62,0,2
60,dedicated,Z,1,True,62,0,2
60,dedicated,Z,2,False,62,0,2
60,dedicated,Z,2,True,62,0,2
60,dedicated,Z,3,False,62,0,2
60,dedicated,Z,3,True,62,0,2
60,coloration,X,1,False,116,27,1
60,coloration,X,1,True,116,27,1
60,coloration,X,2,False,116,27,1
60,coloration,X,2,True,116,27,1
60,coloration,X,3,False,116,27,1
